"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 13, 2021","40.12","38.25","40.12","37.82","3.51M","4.88%"
"Jan 12, 2021","38.26","38.13","39.44","37.84","3.26M","0.24%"
"Jan 11, 2021","38.17","42.39","42.39","35.60","6.37M","-10.05%"
"Jan 10, 2021","42.43","43.96","44.66","41.14","4.28M","-3.15%"
"Jan 09, 2021","43.81","42.39","43.92","41.71","2.72M","3.51%"
"Jan 08, 2021","42.33","43.52","43.52","41.63","3.56M","-3.04%"
"Jan 07, 2021","43.65","42.31","44.12","41.73","5.02M","3.35%"
"Jan 06, 2021","42.24","41.73","42.24","40.82","3.78M","1.07%"
"Jan 05, 2021","41.79","41.02","41.79","39.68","3.51M","1.67%"
"Jan 04, 2021","41.10","41.37","42.35","39.63","5.30M","-0.28%"
"Jan 03, 2021","41.22","38.22","41.22","37.98","4.90M","7.78%"
"Jan 02, 2021","38.24","37.66","38.78","37.10","3.02M","1.37%"
"Jan 01, 2021","37.73","37.36","38.64","37.07","2.43M","1.06%"
"Dec 31, 2020","37.33","38.17","38.17","36.80","1.89M","-1.99%"
"Dec 30, 2020","38.09","39.13","39.13","37.09","2.42M","-2.59%"
"Dec 29, 2020","39.10","35.97","39.10","35.97","7.02M","8.81%"
"Dec 28, 2020","35.94","33.64","35.94","33.64","4.12M","6.83%"
"Dec 27, 2020","33.64","33.60","34.58","33.23","3.75M","0.17%"
"Dec 26, 2020","33.58","33.20","33.63","32.92","2.42M","1.21%"
"Dec 25, 2020","33.18","32.50","33.26","32.32","2.60M","2.04%"
"Dec 24, 2020","32.52","31.19","32.52","30.75","3.00M","4.24%"
"Dec 23, 2020","31.19","33.47","34.34","31.19","3.94M","-6.98%"
"Dec 22, 2020","33.53","32.05","33.53","31.72","3.57M","4.26%"
"Dec 21, 2020","32.16","34.18","35.59","31.58","4.55M","-6.14%"
"Dec 20, 2020","34.27","33.28","35.19","33.28","4.48M","2.90%"
"Dec 19, 2020","33.30","30.92","33.95","30.92","4.12M","7.58%"
"Dec 18, 2020","30.96","30.20","30.96","30.20","2.04M","2.44%"
"Dec 17, 2020","30.22","30.48","31.29","30.20","3.27M","-1.14%"
"Dec 16, 2020","30.57","29.50","30.58","29.10","2.16M","3.55%"
"Dec 15, 2020","29.52","30.05","30.05","29.42","1.62M","-1.70%"
"Dec 14, 2020","30.03","29.11","30.03","28.79","2.03M","3.07%"
"Dec 13, 2020","29.13","28.17","29.19","28.16","1.64M","3.53%"
"Dec 12, 2020","28.14","27.31","28.14","27.31","1.30M","2.97%"
"Dec 11, 2020","27.33","27.72","27.72","27.02","1.25M","-1.20%"
"Dec 10, 2020","27.66","28.16","28.16","27.59","1.34M","-1.75%"
"Dec 09, 2020","28.15","27.66","28.26","27.46","1.64M","1.72%"
"Dec 08, 2020","27.68","29.34","29.35","27.61","1.84M","-5.75%"
"Dec 07, 2020","29.36","29.49","29.53","29.28","1.23M","-0.46%"
"Dec 06, 2020","29.50","29.69","29.69","29.17","1.33M","-0.78%"
"Dec 05, 2020","29.73","29.00","29.86","29.00","1.83M","2.44%"
"Dec 04, 2020","29.02","30.67","30.67","29.02","2.06M","-5.45%"
"Dec 03, 2020","30.70","30.25","30.70","30.03","1.92M","1.33%"
"Dec 02, 2020","30.30","30.07","30.58","30.07","2.37M","0.56%"
"Dec 01, 2020","30.13","31.49","31.85","30.09","3.14M","-4.35%"
"Nov 30, 2020","31.50","30.10","31.50","30.05","2.97M","4.65%"
"Nov 29, 2020","30.10","29.12","30.25","29.00","2.86M","3.25%"
"Nov 28, 2020","29.15","28.48","29.42","28.09","2.64M","2.45%"
"Nov 27, 2020","28.46","28.23","28.59","27.72","2.32M","0.85%"
"Nov 26, 2020","28.22","31.21","31.50","27.31","6.24M","-9.83%"
"Nov 25, 2020","31.29","33.85","34.71","31.29","4.59M","-7.77%"
"Nov 24, 2020","33.93","31.00","33.93","31.00","7.29M","9.52%"
"Nov 23, 2020","30.98","30.06","30.98","29.88","2.92M","3.13%"
"Nov 22, 2020","30.04","30.54","30.54","29.57","2.84M","-1.50%"
"Nov 21, 2020","30.50","28.90","30.50","28.54","3.16M","5.33%"
